time,u,y_measure,y_estimate,y_true,noise
0,0,0.538706323715925,0,0,0.538706323715925
0.1,0,0.422263699410772,0,-0.321954413275308,0.74421811268608
0.2,0,0.843959746839887,0,-0.916528783980404,1.76048853082029
0.3,0,0.259455024602216,0,-0.491528964227355,0.750983988829571
0.4,0,-1.37607992660904,0,-0.809181991258934,-0.566897935350109
0.5,0,-0.916002790392029,0,-0.654836198632275,-0.261166591759754
0.6,1,-4.01979851523316,0,-1.57233919670897,-2.44745931852419
0.7,1,-1.48461509456051,0,-1.80368879044644,0.319073695885934
0.8,1,-1.24888399194121,0,-2.04376424915068,0.794880257209469
0.9,1,-1.59383848081655,0,-2.81637930592626,1.22254082510971
1,1,-2.62134753410837,0,-2.61781309312969,-0.00353444097868314
1.1,1,-2.63429359804265,0,-2.01273134514764,-0.62156225289501
1.2,1,-1.61861553634457,0,-1.0996585051158,-0.518957031228768
1.3,1,0.990282297645301,0,-0.903320197394001,1.8936024950393
1.4,1,0.0994933537291463,0,-0.160287662879617,0.259781016608763
1.5,1,0.195142974764879,0,-0.638638752424364,0.833781727189242
1.6,1,-0.493137656902916,0,-1.49483018304845,1.00169252614554
1.7,1,-1.78934723107835,0,-1.52034358220361,-0.269003648874743
1.8,1,-2.48753645361506,0,-1.72230836611532,-0.76522808749974
1.9,1,0.706678154186928,0,-1.53942427501257,2.2461024291995
2,1,-1.44115133013685,0,-0.974749127533905,-0.466402202602946
2.1,1,-2.11990207627632,0,-0.753631413569439,-1.36627066270688
2.2,1,-3.18444308056135,0,-2.32078023477904,-0.863662845782301
2.3,1,-1.75143876319061,0,-2.25178992583614,0.500351162645528
2.4,1,-1.21144501777809,0,-1.92959315063189,0.718148132853797
2.5,1,-2.8225682830133,0,-1.89076471871432,-0.931803564298986
2.6,1,-0.262828329402927,0,-0.910552929228006,0.647724599825079
2.7,0,-0.563476897937478,0,-0.850943714473312,0.287466816535834
2.8,0,0.723679530104787,0,0.0737953706201598,0.649884159484628
2.9,0,1.67936101987355,0,0.450076991118201,1.22928402875535
3,0,0.950820761490609,0,0.862537395417187,0.0882833660734226
3.1,0,2.29826365178833,0,0.940394971514064,1.35786868027426
3.2,-1,1.77179499844925,0,1.60128088621118,0.170514112238071
3.3,-1,0.641696805553577,0,1.52797501138834,-0.886278205834767
3.4,-1,1.35618119506885,0,1.17272119068407,0.183460004384776
3.5,-1,-2.09346476649864,0,0.747270922759336,-2.84073568925798
3.6,-1,-0.304308755901951,0,1.00966352659077,-1.31397228249272
3.7,-2,1.42720268849918,0,1.2346693897346,0.192533298764581
3.8,-2,0.788369505620118,0,0.701401183115442,0.0869683225046761
3.9,-2,2.29431467988574,0,0.989448856737712,1.30486582314803
4,-2,0.333479950326051,0,1.64603358283557,-1.31255363250952
4.1,-2,2.80303540108741,0,2.25905658924109,0.543978811846312
4.2,-2,3.1868436906462,0,2.05555502441468,1.13128866623152
4.3,-2,0.334661401014465,0,1.57022771227793,-1.23556631126347
4.4,-2,2.26107962171472,0,0.975787900429028,1.28529172128569
4.5,-2,0.649851328039622,0,1.37975487227517,-0.729903544235552
4.6,-2,1.33196876763611,0,1.31308602185857,0.0188827457775441
4.7,-2,1.13808715662959,0,1.26175994188504,-0.123672785255445
4.8,-2,1.53844430237487,0,0.806763086445158,0.731681215929708
4.9,-2,0.742491968026756,0,0.993138298013467,-0.250646329986711
5,-2,1.08924298288891,0,0.9934558211255,0.0957871617634118
5.1,-2,-0.502580178913958,0,1.14075511320115,-1.64333529211511
5.2,-2,0.613477944847377,0,1.09186386502742,-0.478385920180041
5.3,-2,1.578910250128,0,0.924843485549093,0.654066764578906
5.4,-2,1.48016971615945,0,1.45883818718233,0.0213315289771194
5.5,-2,2.4145450726922,0,1.34326111821696,1.07128395447524
5.6,-2,1.82574974689699,0,1.38218383516094,0.443565911736047
5.7,-2,1.18747110504292,0,0.975715414142988,0.21175569089993
5.8,-1,1.05277068638853,0,1.58873869604294,-0.535968009654412
5.9,-1,1.7038213681548,0,1.93773108366728,-0.233909715512483
6,-1,1.17822432800895,0,1.40183025191503,-0.223605923906083
6.1,-1,3.08209982568865,0,1.41512074092599,1.66697908476266
6.2,-1,-1.63516182867718,0,0.624475893824356,-2.25963772250154
6.3,0,1.29401227695393,0,0.475709585868451,0.818302691085479
6.4,0,-0.990930792623987,0,0.126393588201432,-1.11732438082542
6.5,0,0.709779487624099,0,-0.174605958303225,0.884385445927324
6.6,0,-0.124139143503254,0,-1.02866725275781,0.904528109254559
6.7,0,-2.03916577945402,0,-1.273346912393,-0.76581886706102
6.8,0,1.48051375462642,0,-1.69305509987699,3.17356885450341
6.9,1,-2.7410395888819,0,-2.28184159151981,-0.459197997362085
7,1,-1.5224499596228,0,-1.82514765750924,0.302697697886439
7.1,1,-1.5658957607093,0,-2.33003600016519,0.764140239455887
